answer,question
abdicate (from) the throne,왕좌에서 물러나다
abdicate one’s reponsibility for ~,~에 대한 자신의 책임을 포기하다
abduct a girl for ransom,몸값을 받아 내려고 소녀를 납치하다
aberrant behavior under the influence of drugs,마약으로 인한 변태적 행동
abhor cruelty to animals,동물에 대한 잔혹 행위를 혐오하다
live in abject poverty,극빈 상태에 살다
an abject apology,비굴한 사과
abolish slavery[poverty],노예 제도[가난]를 없애다
I hate dogs.,나는 개를 싫어한다.
I abhor a snake.,나는 뱀은 질색이다.
Moses abominated idol worship.,모세는 우상 숭배를 혐오했다.
I detest dishonest people.,나는 부정직한 사람을 몹시 싫어한다.
You loathe the smell of greasy food when you are seasick.,뱃멀미가 날 때는 기름기 있는 음식 냄새가 끔찍하게 싫은 법이다.
abominate unfairness in an umpire,심판의 불공정성을 혐오하다
hold ~ in abomination,~을 몹시 싫어하다
an aboriginal civilization[inhabitant],토착 문명[거주민]
have an abortion,낙태하다
an abrasive tool,연마 용구
in an abrasive voice,귀에 거슬리는 목소리로
Sandpaper and grinder are abrasives.,사포와 숫돌은 연마 용구들이다.
abrogate a treaty,조약을 철폐하다
an abrupt change of policy,돌연한 정책 전환
an abrupt manner,퉁명스러운 태도
He made a useless attempt.,그는 쓸데없는 시도를 했다.
a futile theory,아무 소용없는 이론
The long search was fruitless.,그 오랜 수색은 성과가 없었다.
an abortive attempt to break jail,실패로 돌아간 탈옥 시도
