question,answer,a_lang
나는 휴대전화가 있어요.,我有手机。,zh
당신은 휴대전화가 있나요?,你有手机吗？,zh
나는 휴대전화가 없어요.,我没有手机。,zh
나는 휴대전화를 사고 싶어요.,我想买手机。,zh
사다,买,zh
팔다,卖,zh
나는 강아지를 사고 싶어요.,我想买狗。,zh
당신은 텔레비전을 보고 싶나요?,你想看电视吗？,zh
보고 싶지 않아요.,不想看。,zh
당신은 영화를 보고 싶나요?,你想看电影吗？,zh
보고 싶어요.,想。,zh
패왕별희,霸王别姬,zh
인생,活着,zh
첨밀밀,甜蜜蜜,zh
(당신은) 식사하셨어요?,你吃饭了吗？,zh
아니요.,没有。,zh
식사하고 싶으세요?,想吃吗？,zh
하고(먹고) 싶어요.,我想吃。,zh
일,一,zh
이,二,zh
삼,三,zh
사,四,zh
오,五,zh
육,六,zh
칠,七,zh
팔,八,zh
구,九,zh
십,十,zh
돈을 벌다.,发,zh
둘(2),两,zh
사랑해.,五二一（我爱你。）,zh
잘 가. 잘 있어.,八八六（拜拜。）,zh
안녕히 계세요(가세요).,八八六（再见）,zh
여기를 봐.,看这儿吧。,zh
여기 휴대전화가 있어.,这儿有手机。,zh
저기를 봐.,看那儿吧。,zh
저기 MP3가 있어.,那儿有MP3。,zh
코카콜라,可口可乐,zh
초콜릿,巧克力,zh
커피,咖啡,zh
