question,answer
공금을 가지고 달아나다,abscond with public money
남의 의무를 면제하다,absolve a person from a duty
자신의 죄를 용서받다,be absolved of one's sin
술을 절제하다,abstain from drinking
투표를 기권하다,abstain from voting
심오한 이론[교리],an abstruse theory[creed]
대중의 공포를 가라앉히다,allay the public's fears
어떤 죄를 용서받다,be absolved of a sin
살인죄로부터 무죄 방면되다,be acquitted of murder
지각을 용서하다,excuse his coming late
그의 무고함을 밝히다,exonerate him from an accusation
선생님이 너를 용서하실 것이다.,The teacher will forgive you.
그 선임 대통령은 모든 정치범을 사면하셨다.,The new president amnestied all political prisoners.
남편의 부정을 용서하다,condone a husband's infidelity
재빨리 생각하여 사고를 피하다,avert accident by quick thinking
끔찍한 광경으로부터 자신의 눈을 돌리다,avert one's eyes from the terrible sight
자신의 신앙을 공개적으로 버리다,abjure one's religion
맹장 제거 수술,an ablation of the appendix
목욕 재계하다,perform one's ablutions
자신의 특권을 포기하다,abnegate one's privilege
그는 부업으로 양계를 한다.,He raises poultry as an avocation.
정책이 실패했다는 것을 인정하다,acknowledge that its policy had failed
타버린 화약의 역한 냄새,the acrid odor of burnt gunpowder
신랄한 말,an acrimonious remark
추종자들의 칭찬 덕택으로 성공하다,thrive on the adulation of one's henchmen
전쟁의 여파,the aftermath of war
날렵한 다람쥐,an agile squirrel
의제의 다음 항목,the next item on the agenda
성난 폭도들을 자극하다,agitate the angry mob
그들은 우리의 제안을 선선히 받아들였다.,They accepted our offer with alacrity.
사회로부터 소외당하다,be alienated from society
